docking_rank,candidate_id,chunk_id,source_models,minimized_affinity_kcal_mol,cnn_score,cnn_affinity,cnn_vs,mw,tpsa,clogp,hbd,hba,rotatable_bonds,formal_charge,sa_score,lipinski_rule_of_five_violations,max_clinical_similarity,max_patent_proxy_similarity,parent_inchi_key,parent_smiles,canonical_smiles,generated_smiles,pose_sdf,analysis_smiles,murcko_scaffold,generic_murcko_scaffold,structure_qc_flags,pose_qc_pass,pose_qc_flags,ecfp_cluster_id,selected_for_admet,selected_for_pre_admet_md,admet_selection_rank,pre_admet_md_selection_rank
13,FXIA-GEN-025014,0051,reinvent_denovo,-8.00171,0.9847891331,6.7819638252,6.6788043976,408.432,120.03,1.407,2.0,7.0,8.0,0.0,1.911,0.0,0.162,0.175,RDPNBZXFOIENIL-UHFFFAOYSA-N,CNS(=O)(=O)c1ccc(C(=O)OCC(=O)Nc2cc(OC)ccc2OC)cc1,CNS(=O)(=O)c1ccc(C(=O)OCC(=O)Nc2cc(OC)ccc2OC)cc1,CNS(=O)(=O)c1ccc(C(=O)OCC(=O)Nc2cc(OC)ccc2OC)cc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0051_gnina_poses.sdf,CNS(=O)(=O)c1ccc(C(=O)OCC(=O)Nc2cc(OC)ccc2OC)cc1,O=C(COC(=O)c1ccccc1)Nc1ccccc1,CC(CCC(C)C1CCCCC1)CC1CCCCC1,ok,true,ok,11,true,false,11,
14,FXIA-GEN-025621,0052,linkinvent,-7.98415,0.9842743278,7.5771822929,7.4580259323,436.893,134.32,1.278,3.0,6.0,10.0,0.0,3.817,0.0,0.142,0.402,ROARSRLLQPETHG-UHFFFAOYSA-N,CN(CCCCC(N)C(=O)O)S(=O)(=O)NC1CC(c2cccc(Cl)c2F)=NO1,CN(CCCCC(N)C(=O)O)S(=O)(=O)NC1CC(c2cccc(Cl)c2F)=NO1,CN(CCCCC(N)C(=O)O)S(=O)(=O)NC1CC(c2cccc(Cl)c2F)=NO1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0052_gnina_poses.sdf,CN(CCCCC(N)C(=O)O)S(=O)(=O)NC1CC(c2cccc(Cl)c2F)=NO1,c1ccc(C2=NOCC2)cc1,C1CCC(C2CCCC2)CC1,ok,true,ok,12,true,false,12,
15,FXIA-GEN-014773,0030,reinvent_denovo,-9.0249,0.984115243,6.1987195015,6.1002545357,373.361,92.32,2.025,1.0,7.0,6.0,0.0,2.519,0.0,0.148,0.171,KNEFTESKYIFTCP-UHFFFAOYSA-N,COc1ccc(OC)c(NC(=O)COC(=O)C2COc3ccccc3O2)c1,COc1ccc(OC)c(NC(=O)COC(=O)C2COc3ccccc3O2)c1,COc1ccc(OC)c(NC(=O)COC(=O)C2COc3ccccc3O2)c1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0030_gnina_poses.sdf,COc1ccc(OC)c(NC(=O)COC(=O)C2COc3ccccc3O2)c1,O=C(COC(=O)C1COc2ccccc2O1)Nc1ccccc1,CC(CCC(C)C1CCC2CCCCC2C1)CC1CCCCC1,ok,true,ok,13,true,false,13,
16,FXIA-GEN-037221,0075,reinvent_denovo,-7.84798,0.9839762449,6.5857052803,6.4801774025,379.46,73.22,3.381,1.0,4.0,7.0,0.0,2.16,0.0,0.152,0.161,ZRYCDJRZWQWDFT-UHFFFAOYSA-N,CCOc1ccc(CNC(=O)c2cc3cccnc3n(CC(C)C)c2=O)cc1,CCOc1ccc(CNC(=O)c2cc3cccnc3n(CC(C)C)c2=O)cc1,CCOc1ccc(CNC(=O)c2cc3cccnc3n(CC(C)C)c2=O)cc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0075_gnina_poses.sdf,CCOc1ccc(CNC(=O)c2cc3cccnc3n(CC(C)C)c2=O)cc1,O=C(NCc1ccccc1)c1cc2cccnc2[nH]c1=O,CC(CCC1CCCCC1)C1CC2CCCCC2CC1C,ok,true,ok,14,true,false,14,
17,FXIA-GEN-002242,0005,reinvent_denovo,-7.26621,0.9838321209,6.0100717545,5.9129018784,370.224,82.48,2.859,1.0,4.0,5.0,0.0,3.721,0.0,0.131,0.144,BMAMYVXTKFNPDE-UHFFFAOYSA-N,COc1cnccc1C[S+]([O-])c1cccc(Br)c1C(=O)O,COc1cnccc1C[S+]([O-])c1cccc(Br)c1C(=O)O,COc1cnccc1C[S+]([O-])c1cccc(Br)c1C(=O)O,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0005_gnina_poses.sdf,COc1cnccc1C[S+]([O-])c1cccc(Br)c1C(=O)O,c1ccc([SH+]Cc2ccncc2)cc1,C1CCC(CCC2CCCCC2)CC1,ok,true,ok,15,true,false,15,
19,FXIA-GEN-004317,0009,reinvent_denovo,-7.44266,0.983571887,6.3125796318,6.2088756561,391.084,60.16,3.627,1.0,3.0,2.0,0.0,2.019,0.0,0.074,0.115,CUFFLBAYZVGIFB-UHFFFAOYSA-N,Nc1ccc(S(=O)(=O)c2ccc(Br)cc2)cc1Br,Nc1ccc(S(=O)(=O)c2ccc(Br)cc2)cc1Br,Nc1ccc(S(=O)(=O)c2ccc(Br)cc2)cc1Br,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0009_gnina_poses.sdf,Nc1ccc(S(=O)(=O)c2ccc(Br)cc2)cc1Br,O=S(=O)(c1ccccc1)c1ccccc1,CC(C)(C1CCCCC1)C1CCCCC1,ok,true,ok,16,true,false,16,
20,FXIA-GEN-020061,0041,reinvent_denovo,-8.088,0.9834759235,6.509745121,6.4021778107,368.455,84.94,1.676,1.0,6.0,5.0,0.0,2.314,0.0,0.113,0.137,NWGQHIDYDOIMBD-UHFFFAOYSA-N,CCS(=O)(=O)c1cc2c(cc1NC(=O)CN1CCCCC1)OCCO2,CCS(=O)(=O)c1cc2c(cc1NC(=O)CN1CCCCC1)OCCO2,CCS(=O)(=O)c1cc2c(cc1NC(=O)CN1CCCCC1)OCCO2,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0041_gnina_poses.sdf,CCS(=O)(=O)c1cc2c(cc1NC(=O)CN1CCCCC1)OCCO2,O=C(CN1CCCCC1)Nc1ccc2c(c1)OCCO2,CC(CC1CCCCC1)CC1CCC2CCCCC2C1,ok,true,ok,17,true,false,17,
21,FXIA-GEN-031190,0063,reinvent_denovo,-8.97991,0.9834622145,6.9365558624,6.8218407631,390.443,99.87,3.765,3.0,4.0,7.0,0.0,2.404,0.0,0.157,0.16,VVLCMNPRIALIQP-UHFFFAOYSA-N,CCOc1cc2nc[nH]c(=O)c2cc1NC(=O)CCCc1c[nH]c2ccccc12,CCOc1cc2nc[nH]c(=O)c2cc1NC(=O)CCCc1c[nH]c2ccccc12,CCOc1cc2nc[nH]c(=O)c2cc1NC(=O)CCCc1c[nH]c2ccccc12,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0063_gnina_poses.sdf,CCOc1cc2nc[nH]c(=O)c2cc1NC(=O)CCCc1c[nH]c2ccccc12,O=C(CCCc1c[nH]c2ccccc12)Nc1ccc2nc[nH]c(=O)c2c1,CC(CCCC1CCC2CCCCC21)CC1CCC2CCCC(C)C2C1,ok,true,ok,18,true,false,18,
22,FXIA-GEN-021343,0043,reinvent_denovo,-6.49089,0.9834154844,6.6376123428,6.5275306702,385.255,81.86,1.454,1.0,5.0,8.0,0.0,2.508,0.0,0.12,0.143,OTGVPDLIJPCDHI-UHFFFAOYSA-N,COCCN(CCOC)S(=O)(=O)c1cc(Br)c(N)cc1F,COCCN(CCOC)S(=O)(=O)c1cc(Br)c(N)cc1F,COCCN(CCOC)S(=O)(=O)c1cc(Br)c(N)cc1F,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0043_gnina_poses.sdf,COCCN(CCOC)S(=O)(=O)c1cc(Br)c(N)cc1F,c1ccccc1,C1CCCCC1,ok,true,ok,19,true,false,19,
23,FXIA-GEN-026622,0054,reinvent_denovo,-7.54652,0.9831838012,7.0732111931,6.9542665482,357.848,89.77,1.91,1.0,6.0,6.0,0.0,2.685,0.0,0.111,0.133,SEFQLXHDWDEBBA-UHFFFAOYSA-N,O=S(=O)(NCCCn1cccn1)c1cc2nsnc2cc1Cl,O=S(=O)(NCCCn1cccn1)c1cc2nsnc2cc1Cl,O=S(=O)(NCCCn1cccn1)c1cc2nsnc2cc1Cl,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0054_gnina_poses.sdf,O=S(=O)(NCCCn1cccn1)c1cc2nsnc2cc1Cl,O=S(=O)(NCCCn1cccn1)c1ccc2nsnc2c1,CC(C)(CCCCC1CCCC1)C1CCC2CCCC2C1,ok,true,ok,20,true,false,20,
27,FXIA-GEN-016795,0034,reinvent_denovo,-8.29647,0.9824405313,6.1496429443,6.0416584015,365.769,94.09,2.858,2.0,6.0,6.0,0.0,1.906,0.0,0.192,0.192,LURYLYYFODPKJP-UHFFFAOYSA-N,COc1cc(NC(=O)COC(=O)c2ccccc2O)c(OC)cc1Cl,COc1cc(NC(=O)COC(=O)c2ccccc2O)c(OC)cc1Cl,COc1cc(NC(=O)COC(=O)c2ccccc2O)c(OC)cc1Cl,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0034_gnina_poses.sdf,COc1cc(NC(=O)COC(=O)c2ccccc2O)c(OC)cc1Cl,O=C(COC(=O)c1ccccc1)Nc1ccccc1,CC(CCC(C)C1CCCCC1)CC1CCCCC1,ok,true,ok,21,true,false,21,
29,FXIA-GEN-028623,0058,reinvent_denovo,-7.34266,0.9818915725,6.3309102058,6.2162675858,364.492,81.42,3.935,2.0,6.0,6.0,0.0,2.806,0.0,0.156,0.188,UEMDGRREKAVUAC-UHFFFAOYSA-N,CCOC(=O)c1c(C)csc1NC(=O)C(C)Sc1cccc(N)c1,CCOC(=O)c1c(C)csc1NC(=O)C(C)Sc1cccc(N)c1,CCOC(=O)c1c(C)csc1NC(=O)C(C)Sc1cccc(N)c1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0058_gnina_poses.sdf,CCOC(=O)c1c(C)csc1NC(=O)C(C)Sc1cccc(N)c1,O=C(CSc1ccccc1)Nc1cccs1,CC(CCC1CCCCC1)CC1CCCC1,ok,true,ok,22,true,false,22,
30,FXIA-GEN-027564,0056,reinvent_denovo,-7.52276,0.9815346003,6.637840271,6.5152697563,410.517,92.78,3.044,1.0,6.0,6.0,0.0,2.136,0.0,0.157,0.19,STSVTMXLKLBCKA-UHFFFAOYSA-N,CCOC(=O)c1c(NC(=O)c2cccc(S(=O)(=O)N(C)C)c2)sc(C)c1C,CCOC(=O)c1c(NC(=O)c2cccc(S(=O)(=O)N(C)C)c2)sc(C)c1C,CCOC(=O)c1c(NC(=O)c2cccc(S(=O)(=O)N(C)C)c2)sc(C)c1C,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0056_gnina_poses.sdf,CCOC(=O)c1c(NC(=O)c2cccc(S(=O)(=O)N(C)C)c2)sc(C)c1C,O=C(Nc1cccs1)c1ccccc1,CC(CC1CCCC1)C1CCCCC1,ok,true,ok,23,true,false,23,
31,FXIA-GEN-030179,0061,reinvent_denovo,-7.8291,0.9813465476,6.0038132668,5.8918213844,378.808,71.06,3.471,0.0,6.0,8.0,0.0,1.963,0.0,0.188,0.188,VEKPKKLMNGVUNS-UHFFFAOYSA-N,COc1ccc(C(=O)COC(=O)COc2ccc(C)cc2Cl)c(OC)c1,COc1ccc(C(=O)COC(=O)COc2ccc(C)cc2Cl)c(OC)c1,COc1ccc(C(=O)COC(=O)COc2ccc(C)cc2Cl)c(OC)c1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0061_gnina_poses.sdf,COc1ccc(C(=O)COC(=O)COc2ccc(C)cc2Cl)c(OC)c1,O=C(COc1ccccc1)OCC(=O)c1ccccc1,CC(CCC1CCCCC1)CCC(C)C1CCCCC1,ok,true,ok,24,true,false,24,
32,FXIA-GEN-017583,0036,reinvent_denovo,-7.81644,0.9811041355,7.0488214493,6.9156279564,426.922,93.73,3.686,2.0,5.0,8.0,0.0,2.018,0.0,0.273,0.273,MHQGIMWPKAXXIP-UHFFFAOYSA-N,CCOc1ccc(Cl)cc1C(=O)Nc1cc(S(=O)(=O)NC(C)C)ccc1OC,CCOc1ccc(Cl)cc1C(=O)Nc1cc(S(=O)(=O)NC(C)C)ccc1OC,CCOc1ccc(Cl)cc1C(=O)Nc1cc(S(=O)(=O)NC(C)C)ccc1OC,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0036_gnina_poses.sdf,CCOc1ccc(Cl)cc1C(=O)Nc1cc(S(=O)(=O)NC(C)C)ccc1OC,O=C(Nc1ccccc1)c1ccccc1,CC(CC1CCCCC1)C1CCCCC1,ok,true,ok,25,true,false,25,
33,FXIA-GEN-017464,0035,reinvent_denovo,-5.64225,0.9809561372,6.4998903275,6.3761072159,393.328,81.42,1.931,2.0,4.0,6.0,0.0,2.771,0.0,0.142,0.153,MFSMPBBHUMKDEV-UHFFFAOYSA-N,COC1(CNS(=O)(=O)c2ccc(Br)c(C(N)=S)c2)CCC1,COC1(CNS(=O)(=O)c2ccc(Br)c(C(N)=S)c2)CCC1,COC1(CNS(=O)(=O)c2ccc(Br)c(C(N)=S)c2)CCC1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0035_gnina_poses.sdf,COC1(CNS(=O)(=O)c2ccc(Br)c(C(N)=S)c2)CCC1,O=S(=O)(NCC1CCC1)c1ccccc1,CC(C)(CCC1CCC1)C1CCCCC1,ok,true,ok,26,true,false,26,
34,FXIA-GEN-013667,0028,reinvent_denovo,-8.32483,0.9809312224,6.9572405815,6.8245744705,401.806,122.5,2.383,2.0,8.0,7.0,0.0,2.848,0.0,0.168,0.168,JULFNXBCFBIAEC-UHFFFAOYSA-N,COc1nnc(Cl)c2ncc(C(=O)CCc3ccc(C(=O)CO)cc3)c(O)c12,COc1nnc(Cl)c2ncc(C(=O)CCc3ccc(C(=O)CO)cc3)c(O)c12,COc1nnc(Cl)c2ncc(C(=O)CCc3ccc(C(=O)CO)cc3)c(O)c12,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0028_gnina_poses.sdf,COc1nnc(Cl)c2ncc(C(=O)CCc3ccc(C(=O)CO)cc3)c(O)c12,O=C(CCc1ccccc1)c1cnc2cnncc2c1,CC(CCC1CCCCC1)C1CCC2CCCCC2C1,ok,true,ok,27,true,false,27,
35,FXIA-GEN-017929,0036,reinvent_denovo,-7.73442,0.9809243679,6.1033205986,5.9868960381,353.172,80.68,2.819,2.0,5.0,4.0,0.0,2.123,0.0,0.173,0.173,MNDXOKYOLPRFAU-UHFFFAOYSA-N,COc1cc(Br)c(NC(=O)c2ccncc2O)cc1OC,COc1cc(Br)c(NC(=O)c2ccncc2O)cc1OC,COc1cc(Br)c(NC(=O)c2ccncc2O)cc1OC,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0036_gnina_poses.sdf,COc1cc(Br)c(NC(=O)c2ccncc2O)cc1OC,O=C(Nc1ccccc1)c1ccncc1,CC(CC1CCCCC1)C1CCCCC1,ok,true,ok,28,true,false,28,
37,FXIA-GEN-003200,0007,reinvent_denovo,-8.3241,0.9807139039,6.8310866356,6.699341774,412.442,113.96,2.129,3.0,5.0,8.0,0.0,2.996,0.0,0.132,0.167,CBPNHLHVYQPSER-UHFFFAOYSA-N,COCC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)NC(C)C(=O)O,COCC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)NC(C)C(=O)O,COCC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)NC(C)C(=O)O,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0007_gnina_poses.sdf,COCC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)NC(C)C(=O)O,c1ccc2c(c1)Cc1ccccc1-2,C1CCC2C(C1)CC1CCCCC12,ok,true,ok,29,true,false,29,
38,FXIA-GEN-015861,0032,reinvent_denovo,-8.39557,0.9803712368,7.1443414688,7.0041069984,465.201,92.91,2.068,2.0,4.0,4.0,0.0,3.419,0.0,0.15,0.161,LFEFKJNLZKRFSO-UHFFFAOYSA-N,Cc1n[nH]c2c1c(=O)n(Cc1ccc(Br)c(F)c1)c(=O)n2CC(O)C(F)(F)F,Cc1n[nH]c2c1c(=O)n(Cc1ccc(Br)c(F)c1)c(=O)n2CC(O)C(F)(F)F,Cc1n[nH]c2c1c(=O)n(Cc1ccc(Br)c(F)c1)c(=O)n2CC(O)C(F)(F)F,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0032_gnina_poses.sdf,Cc1n[nH]c2c1c(=O)n(Cc1ccc(Br)c(F)c1)c(=O)n2CC(O)C(F)(F)F,O=c1[nH]c2[nH]ncc2c(=O)n1Cc1ccccc1,CC1CC2CCCC2C(C)C1CC1CCCCC1,ok,true,ok,30,true,false,30,
39,FXIA-GEN-033998,0068,reinvent_denovo,-7.21706,0.9802556038,6.6809988022,6.5490865707,382.287,84.97,2.409,3.0,3.0,5.0,0.0,2.35,0.0,0.192,0.192,XPRAXBOMXITJLP-UHFFFAOYSA-N,Cn1cc(CCC(=O)Nc2ccc(NC(N)=S)c(Br)c2)cn1,Cn1cc(CCC(=O)Nc2ccc(NC(N)=S)c(Br)c2)cn1,Cn1cc(CCC(=O)Nc2ccc(NC(N)=S)c(Br)c2)cn1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0068_gnina_poses.sdf,Cn1cc(CCC(=O)Nc2ccc(NC(N)=S)c(Br)c2)cn1,O=C(CCc1cn[nH]c1)Nc1ccccc1,CC(CCC1CCCC1)CC1CCCCC1,ok,true,ok,31,true,false,31,
