candidate_id,smiles,docking_rank,source_models,cnn_score,cnn_affinity,minimized_affinity_kcal_mol,mw,tpsa,clogp,hbd,hba,rotatable_bonds,formal_charge,sa_score,lipinski_rule_of_five_violations,max_clinical_similarity,max_patent_proxy_similarity,murcko_scaffold,generic_murcko_scaffold,ecfp_cluster_id,pose_qc_pass,pose_qc_flags,parent_inchi_key,parent_smiles,pose_sdf
FXIA-GEN-025014,CNS(=O)(=O)c1ccc(C(=O)OCC(=O)Nc2cc(OC)ccc2OC)cc1,13,reinvent_denovo,0.9847891331,6.7819638252,-8.00171,408.432,120.03,1.407,2.0,7.0,8.0,0.0,1.911,0.0,0.162,0.175,O=C(COC(=O)c1ccccc1)Nc1ccccc1,CC(CCC(C)C1CCCCC1)CC1CCCCC1,11,true,ok,RDPNBZXFOIENIL-UHFFFAOYSA-N,CNS(=O)(=O)c1ccc(C(=O)OCC(=O)Nc2cc(OC)ccc2OC)cc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0051_gnina_poses.sdf
FXIA-GEN-025621,CN(CCCCC(N)C(=O)O)S(=O)(=O)NC1CC(c2cccc(Cl)c2F)=NO1,14,linkinvent,0.9842743278,7.5771822929,-7.98415,436.893,134.32,1.278,3.0,6.0,10.0,0.0,3.817,0.0,0.142,0.402,c1ccc(C2=NOCC2)cc1,C1CCC(C2CCCC2)CC1,12,true,ok,ROARSRLLQPETHG-UHFFFAOYSA-N,CN(CCCCC(N)C(=O)O)S(=O)(=O)NC1CC(c2cccc(Cl)c2F)=NO1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0052_gnina_poses.sdf
FXIA-GEN-014773,COc1ccc(OC)c(NC(=O)COC(=O)C2COc3ccccc3O2)c1,15,reinvent_denovo,0.984115243,6.1987195015,-9.0249,373.361,92.32,2.025,1.0,7.0,6.0,0.0,2.519,0.0,0.148,0.171,O=C(COC(=O)C1COc2ccccc2O1)Nc1ccccc1,CC(CCC(C)C1CCC2CCCCC2C1)CC1CCCCC1,13,true,ok,KNEFTESKYIFTCP-UHFFFAOYSA-N,COc1ccc(OC)c(NC(=O)COC(=O)C2COc3ccccc3O2)c1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0030_gnina_poses.sdf
FXIA-GEN-037221,CCOc1ccc(CNC(=O)c2cc3cccnc3n(CC(C)C)c2=O)cc1,16,reinvent_denovo,0.9839762449,6.5857052803,-7.84798,379.46,73.22,3.381,1.0,4.0,7.0,0.0,2.16,0.0,0.152,0.161,O=C(NCc1ccccc1)c1cc2cccnc2[nH]c1=O,CC(CCC1CCCCC1)C1CC2CCCCC2CC1C,14,true,ok,ZRYCDJRZWQWDFT-UHFFFAOYSA-N,CCOc1ccc(CNC(=O)c2cc3cccnc3n(CC(C)C)c2=O)cc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0075_gnina_poses.sdf
FXIA-GEN-002242,COc1cnccc1C[S+]([O-])c1cccc(Br)c1C(=O)O,17,reinvent_denovo,0.9838321209,6.0100717545,-7.26621,370.224,82.48,2.859,1.0,4.0,5.0,0.0,3.721,0.0,0.131,0.144,c1ccc([SH+]Cc2ccncc2)cc1,C1CCC(CCC2CCCCC2)CC1,15,true,ok,BMAMYVXTKFNPDE-UHFFFAOYSA-N,COc1cnccc1C[S+]([O-])c1cccc(Br)c1C(=O)O,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0005_gnina_poses.sdf
FXIA-GEN-004317,Nc1ccc(S(=O)(=O)c2ccc(Br)cc2)cc1Br,19,reinvent_denovo,0.983571887,6.3125796318,-7.44266,391.084,60.16,3.627,1.0,3.0,2.0,0.0,2.019,0.0,0.074,0.115,O=S(=O)(c1ccccc1)c1ccccc1,CC(C)(C1CCCCC1)C1CCCCC1,16,true,ok,CUFFLBAYZVGIFB-UHFFFAOYSA-N,Nc1ccc(S(=O)(=O)c2ccc(Br)cc2)cc1Br,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0009_gnina_poses.sdf
FXIA-GEN-020061,CCS(=O)(=O)c1cc2c(cc1NC(=O)CN1CCCCC1)OCCO2,20,reinvent_denovo,0.9834759235,6.509745121,-8.088,368.455,84.94,1.676,1.0,6.0,5.0,0.0,2.314,0.0,0.113,0.137,O=C(CN1CCCCC1)Nc1ccc2c(c1)OCCO2,CC(CC1CCCCC1)CC1CCC2CCCCC2C1,17,true,ok,NWGQHIDYDOIMBD-UHFFFAOYSA-N,CCS(=O)(=O)c1cc2c(cc1NC(=O)CN1CCCCC1)OCCO2,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0041_gnina_poses.sdf
FXIA-GEN-031190,CCOc1cc2nc[nH]c(=O)c2cc1NC(=O)CCCc1c[nH]c2ccccc12,21,reinvent_denovo,0.9834622145,6.9365558624,-8.97991,390.443,99.87,3.765,3.0,4.0,7.0,0.0,2.404,0.0,0.157,0.16,O=C(CCCc1c[nH]c2ccccc12)Nc1ccc2nc[nH]c(=O)c2c1,CC(CCCC1CCC2CCCCC21)CC1CCC2CCCC(C)C2C1,18,true,ok,VVLCMNPRIALIQP-UHFFFAOYSA-N,CCOc1cc2nc[nH]c(=O)c2cc1NC(=O)CCCc1c[nH]c2ccccc12,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0063_gnina_poses.sdf
FXIA-GEN-021343,COCCN(CCOC)S(=O)(=O)c1cc(Br)c(N)cc1F,22,reinvent_denovo,0.9834154844,6.6376123428,-6.49089,385.255,81.86,1.454,1.0,5.0,8.0,0.0,2.508,0.0,0.12,0.143,c1ccccc1,C1CCCCC1,19,true,ok,OTGVPDLIJPCDHI-UHFFFAOYSA-N,COCCN(CCOC)S(=O)(=O)c1cc(Br)c(N)cc1F,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0043_gnina_poses.sdf
FXIA-GEN-026622,O=S(=O)(NCCCn1cccn1)c1cc2nsnc2cc1Cl,23,reinvent_denovo,0.9831838012,7.0732111931,-7.54652,357.848,89.77,1.91,1.0,6.0,6.0,0.0,2.685,0.0,0.111,0.133,O=S(=O)(NCCCn1cccn1)c1ccc2nsnc2c1,CC(C)(CCCCC1CCCC1)C1CCC2CCCC2C1,20,true,ok,SEFQLXHDWDEBBA-UHFFFAOYSA-N,O=S(=O)(NCCCn1cccn1)c1cc2nsnc2cc1Cl,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0054_gnina_poses.sdf
FXIA-GEN-016795,COc1cc(NC(=O)COC(=O)c2ccccc2O)c(OC)cc1Cl,27,reinvent_denovo,0.9824405313,6.1496429443,-8.29647,365.769,94.09,2.858,2.0,6.0,6.0,0.0,1.906,0.0,0.192,0.192,O=C(COC(=O)c1ccccc1)Nc1ccccc1,CC(CCC(C)C1CCCCC1)CC1CCCCC1,21,true,ok,LURYLYYFODPKJP-UHFFFAOYSA-N,COc1cc(NC(=O)COC(=O)c2ccccc2O)c(OC)cc1Cl,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0034_gnina_poses.sdf
FXIA-GEN-028623,CCOC(=O)c1c(C)csc1NC(=O)C(C)Sc1cccc(N)c1,29,reinvent_denovo,0.9818915725,6.3309102058,-7.34266,364.492,81.42,3.935,2.0,6.0,6.0,0.0,2.806,0.0,0.156,0.188,O=C(CSc1ccccc1)Nc1cccs1,CC(CCC1CCCCC1)CC1CCCC1,22,true,ok,UEMDGRREKAVUAC-UHFFFAOYSA-N,CCOC(=O)c1c(C)csc1NC(=O)C(C)Sc1cccc(N)c1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0058_gnina_poses.sdf
FXIA-GEN-027564,CCOC(=O)c1c(NC(=O)c2cccc(S(=O)(=O)N(C)C)c2)sc(C)c1C,30,reinvent_denovo,0.9815346003,6.637840271,-7.52276,410.517,92.78,3.044,1.0,6.0,6.0,0.0,2.136,0.0,0.157,0.19,O=C(Nc1cccs1)c1ccccc1,CC(CC1CCCC1)C1CCCCC1,23,true,ok,STSVTMXLKLBCKA-UHFFFAOYSA-N,CCOC(=O)c1c(NC(=O)c2cccc(S(=O)(=O)N(C)C)c2)sc(C)c1C,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0056_gnina_poses.sdf
FXIA-GEN-030179,COc1ccc(C(=O)COC(=O)COc2ccc(C)cc2Cl)c(OC)c1,31,reinvent_denovo,0.9813465476,6.0038132668,-7.8291,378.808,71.06,3.471,0.0,6.0,8.0,0.0,1.963,0.0,0.188,0.188,O=C(COc1ccccc1)OCC(=O)c1ccccc1,CC(CCC1CCCCC1)CCC(C)C1CCCCC1,24,true,ok,VEKPKKLMNGVUNS-UHFFFAOYSA-N,COc1ccc(C(=O)COC(=O)COc2ccc(C)cc2Cl)c(OC)c1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0061_gnina_poses.sdf
FXIA-GEN-017583,CCOc1ccc(Cl)cc1C(=O)Nc1cc(S(=O)(=O)NC(C)C)ccc1OC,32,reinvent_denovo,0.9811041355,7.0488214493,-7.81644,426.922,93.73,3.686,2.0,5.0,8.0,0.0,2.018,0.0,0.273,0.273,O=C(Nc1ccccc1)c1ccccc1,CC(CC1CCCCC1)C1CCCCC1,25,true,ok,MHQGIMWPKAXXIP-UHFFFAOYSA-N,CCOc1ccc(Cl)cc1C(=O)Nc1cc(S(=O)(=O)NC(C)C)ccc1OC,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0036_gnina_poses.sdf
FXIA-GEN-017464,COC1(CNS(=O)(=O)c2ccc(Br)c(C(N)=S)c2)CCC1,33,reinvent_denovo,0.9809561372,6.4998903275,-5.64225,393.328,81.42,1.931,2.0,4.0,6.0,0.0,2.771,0.0,0.142,0.153,O=S(=O)(NCC1CCC1)c1ccccc1,CC(C)(CCC1CCC1)C1CCCCC1,26,true,ok,MFSMPBBHUMKDEV-UHFFFAOYSA-N,COC1(CNS(=O)(=O)c2ccc(Br)c(C(N)=S)c2)CCC1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0035_gnina_poses.sdf
FXIA-GEN-013667,COc1nnc(Cl)c2ncc(C(=O)CCc3ccc(C(=O)CO)cc3)c(O)c12,34,reinvent_denovo,0.9809312224,6.9572405815,-8.32483,401.806,122.5,2.383,2.0,8.0,7.0,0.0,2.848,0.0,0.168,0.168,O=C(CCc1ccccc1)c1cnc2cnncc2c1,CC(CCC1CCCCC1)C1CCC2CCCCC2C1,27,true,ok,JULFNXBCFBIAEC-UHFFFAOYSA-N,COc1nnc(Cl)c2ncc(C(=O)CCc3ccc(C(=O)CO)cc3)c(O)c12,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0028_gnina_poses.sdf
FXIA-GEN-017929,COc1cc(Br)c(NC(=O)c2ccncc2O)cc1OC,35,reinvent_denovo,0.9809243679,6.1033205986,-7.73442,353.172,80.68,2.819,2.0,5.0,4.0,0.0,2.123,0.0,0.173,0.173,O=C(Nc1ccccc1)c1ccncc1,CC(CC1CCCCC1)C1CCCCC1,28,true,ok,MNDXOKYOLPRFAU-UHFFFAOYSA-N,COc1cc(Br)c(NC(=O)c2ccncc2O)cc1OC,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0036_gnina_poses.sdf
FXIA-GEN-003200,COCC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)NC(C)C(=O)O,37,reinvent_denovo,0.9807139039,6.8310866356,-8.3241,412.442,113.96,2.129,3.0,5.0,8.0,0.0,2.996,0.0,0.132,0.167,c1ccc2c(c1)Cc1ccccc1-2,C1CCC2C(C1)CC1CCCCC12,29,true,ok,CBPNHLHVYQPSER-UHFFFAOYSA-N,COCC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)NC(C)C(=O)O,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0007_gnina_poses.sdf
FXIA-GEN-015861,Cc1n[nH]c2c1c(=O)n(Cc1ccc(Br)c(F)c1)c(=O)n2CC(O)C(F)(F)F,38,reinvent_denovo,0.9803712368,7.1443414688,-8.39557,465.201,92.91,2.068,2.0,4.0,4.0,0.0,3.419,0.0,0.15,0.161,O=c1[nH]c2[nH]ncc2c(=O)n1Cc1ccccc1,CC1CC2CCCC2C(C)C1CC1CCCCC1,30,true,ok,LFEFKJNLZKRFSO-UHFFFAOYSA-N,Cc1n[nH]c2c1c(=O)n(Cc1ccc(Br)c(F)c1)c(=O)n2CC(O)C(F)(F)F,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0032_gnina_poses.sdf
FXIA-GEN-033998,Cn1cc(CCC(=O)Nc2ccc(NC(N)=S)c(Br)c2)cn1,39,reinvent_denovo,0.9802556038,6.6809988022,-7.21706,382.287,84.97,2.409,3.0,3.0,5.0,0.0,2.35,0.0,0.192,0.192,O=C(CCc1cn[nH]c1)Nc1ccccc1,CC(CCC1CCCC1)CC1CCCCC1,31,true,ok,XPRAXBOMXITJLP-UHFFFAOYSA-N,Cn1cc(CCC(=O)Nc2ccc(NC(N)=S)c(Br)c2)cn1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0068_gnina_poses.sdf
FXIA-GEN-031290,COc1ccccc1OCC(=O)Nc1ccc(C)cc1C(=O)NCc1ccccc1,40,reinvent_denovo,0.9798588753,6.3537135124,-8.18869,404.466,76.66,3.951,2.0,4.0,8.0,0.0,1.786,0.0,0.171,0.171,O=C(COc1ccccc1)Nc1ccccc1C(=O)NCc1ccccc1,CC(CCC1CCCCC1)CC1CCCCC1C(C)CCC1CCCCC1,32,true,ok,VXKUCIJXQNUCBH-UHFFFAOYSA-N,COc1ccccc1OCC(=O)Nc1ccc(C)cc1C(=O)NCc1ccccc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0063_gnina_poses.sdf
FXIA-GEN-024458,O=C(C=Cc1ccc(O)c(O)c1)N(O)C(=O)C=Cc1cccc2c1OCO2,42,reinvent_denovo,0.9797532558,6.8768758774,-9.90491,369.329,116.53,2.297,3.0,7.0,4.0,0.0,2.92,0.0,0.079,0.138,O=C(C=Cc1ccccc1)NC(=O)C=Cc1cccc2c1OCO2,CC(CCC1CCCCC1)CC(C)CCC1CCCC2CCCC21,33,true,ok,QUNVGFKOVVLHSJ-UHFFFAOYSA-N,O=C(C=Cc1ccc(O)c(O)c1)N(O)C(=O)C=Cc1cccc2c1OCO2,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0049_gnina_poses.sdf
FXIA-GEN-023147,O=C(Cc1ccc(-c2c(C(F)F)ccc(Cl)c2F)c[n+]1[O-])Nc1ccc(C(=O)O)cn1,43,mol2mol,0.9796534777,7.1398210526,-10.00762,451.788,106.23,3.992,2.0,4.0,6.0,0.0,3.097,0.0,0.131,0.494,O=C(Cc1ccc(-c2ccccc2)c[nH+]1)Nc1ccccn1,CC(CC1CCCCC1)CC1CCC(C2CCCCC2)CC1,34,true,ok,PYVOJBIXLJXPQC-UHFFFAOYSA-N,O=C(Cc1ccc(-c2c(C(F)F)ccc(Cl)c2F)c[n+]1[O-])Nc1ccc(C(=O)O)cn1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0047_gnina_poses.sdf
FXIA-GEN-025134,CCCc1c(-c2ccc(C#N)cc2C)nnn1CC(O)c1cccc(C)c1,44,reinvent_denovo,0.9792205095,7.0126709938,-8.87553,360.461,74.73,4.12,1.0,4.0,6.0,0.0,3.102,0.0,0.132,0.151,c1ccc(CCn2cc(-c3ccccc3)nn2)cc1,C1CCC(CCC2CCC(C3CCCCC3)C2)CC1,35,true,ok,RFNAHHRMJQMYSN-UHFFFAOYSA-N,CCCc1c(-c2ccc(C#N)cc2C)nnn1CC(O)c1cccc(C)c1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0051_gnina_poses.sdf
FXIA-GEN-003410,O=C(NN=Cc1ccc(O)c(Br)c1)C1OC1C(=O)c1ccccc1O,45,reinvent_denovo,0.9792163968,6.6588973999,-8.16846,405.204,111.52,1.961,3.0,6.0,5.0,0.0,3.346,0.0,0.1,0.121,O=C(NN=Cc1ccccc1)C1OC1C(=O)c1ccccc1,CC(CCCC1CCCCC1)C1CC1C(C)C1CCCCC1,36,true,ok,CEXIPENKTFAZEP-UHFFFAOYSA-N,O=C(NN=Cc1ccc(O)c(Br)c1)C1OC1C(=O)c1ccccc1O,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0007_gnina_poses.sdf
FXIA-GEN-013225,COC(=O)c1c(NC(=O)CSc2nnc(CC(=O)NCC3CCCO3)n2C)sc(C)c1C,46,reinvent_denovo,0.9790979624,7.797150135,-8.29631,481.6,124.44,1.849,2.0,9.0,9.0,0.0,3.033,0.0,0.129,0.147,O=C(Cc1nnc(SCC(=O)Nc2cccs2)[nH]1)NCC1CCCO1,CC(CCC1CCC(CC(C)CCC2CCCC2)C1)CC1CCCC1,37,true,ok,JMCHCOBPDSGVHU-UHFFFAOYSA-N,COC(=O)c1c(NC(=O)CSc2nnc(CC(=O)NCC3CCCO3)n2C)sc(C)c1C,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0027_gnina_poses.sdf
FXIA-GEN-006604,O=C(CN1CCSCC1)NCCNc1ccc(Cl)cc1[N+](=O)[O-],47,reinvent_denovo,0.9789636135,6.553920269,-6.59775,358.851,87.51,1.825,2.0,6.0,7.0,0.0,2.314,0.0,0.15,0.182,O=C(CN1CCSCC1)NCCNc1ccccc1,CC(CCCCC1CCCCC1)CC1CCCCC1,38,true,ok,FGHXJSKBWWVXHD-UHFFFAOYSA-N,O=C(CN1CCSCC1)NCCNc1ccc(Cl)cc1[N+](=O)[O-],results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0014_gnina_poses.sdf
FXIA-GEN-008501,CC(=O)Nc1ccc(Br)cc1S(=O)(=O)NCCN(C)C,48,reinvent_denovo,0.978581965,6.3560848236,-6.70362,364.265,78.51,1.247,2.0,4.0,6.0,0.0,2.153,0.0,0.107,0.137,c1ccccc1,C1CCCCC1,39,true,ok,GLOJVNSOOQRZLA-UHFFFAOYSA-N,CC(=O)Nc1ccc(Br)cc1S(=O)(=O)NCCN(C)C,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0018_gnina_poses.sdf
FXIA-GEN-022252,Cc1nc(C)c2c(C)c(C(=O)OCC(=O)N3CCCc4ccccc43)sc2n1,50,reinvent_denovo,0.9783917069,6.5777974129,-9.20822,395.484,72.39,3.753,0.0,6.0,3.0,0.0,2.408,0.0,0.111,0.15,O=C(OCC(=O)N1CCCc2ccccc21)c1cc2cncnc2s1,CC(CCC(C)C1CCCC2CCCCC21)C1CC2CCCCC2C1,40,true,ok,PJFPFEXMGUCNOT-UHFFFAOYSA-N,Cc1nc(C)c2c(C)c(C(=O)OCC(=O)N3CCCc4ccccc43)sc2n1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0045_gnina_poses.sdf
FXIA-GEN-037031,O=C(CCSc1nc2ccc(F)cc2[nH]1)Nc1ccccc1C(=O)NC1CC1,51,reinvent_denovo,0.978197515,6.6321516037,-8.51638,398.463,86.88,3.715,3.0,4.0,7.0,0.0,2.196,0.0,0.12,0.181,O=C(CCSc1nc2ccccc2[nH]1)Nc1ccccc1C(=O)NC1CC1,CC(CCCC1CC2CCCCC2C1)CC1CCCCC1C(C)CC1CC1,41,true,ok,ZOKBHTNZYODQQE-UHFFFAOYSA-N,O=C(CCSc1nc2ccc(F)cc2[nH]1)Nc1ccccc1C(=O)NC1CC1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0075_gnina_poses.sdf
